jd,UT1_UTC,sigma,DeltaT
2458485.5,-37.0212,0.0153,69.2210212
2458486.5,-37.8103,0.0109,69.2218103
2458487.5,-38.3407,0.0108,69.2223407
2458488.5,-38.8442,0.0142,69.2228442
2458489.5,-39.2,0.0139,69.22319999999999
2458490.5,-39.5448,0.0129,69.2235448
2458491.5,-39.8235,0.0129,69.2238235
2458492.5,-40.1827,0.0128,69.2241827
2458493.5,-40.62,0.0126,69.22462
2458494.5,-41.1335,0.0125,69.2251335
2458495.5,-41.7621,0.0124,69.2257621
2458496.5,-42.4928,0.0115,69.2264928
2458497.5,-43.2913,0.0114,69.2272913
2458498.5,-44.1663,0.0114,69.2281663
2458499.5,-45.0744,0.0114,69.2290744
2458500.5,-45.9513,0.011,69.2299513
2458501.5,-46.7703,0.011,69.2307703
2458502.5,-47.5251,0.0108,69.2315251
2458503.5,-48.2545,0.0107,69.2322545
2458504.5,-49.0393,0.0098,69.2330393
2458505.5,-49.9453,0.0098,69.2339453
2458506.5,-51.025,0.0099,69.235025
2458507.5,-52.2867,0.0099,69.2362867
2458508.5,-53.6825,0.0094,69.23768249999999
2458509.5,-55.1286,0.0095,69.2391286
2458510.5,-56.5355,0.0095,69.2405355
2458511.5,-57.8315,0.0096,69.2418315
2458512.5,-58.9595,0.0096,69.2429595
2458513.5,-59.8915,0.0096,69.2438915
2458514.5,-60.631,0.0094,69.244631
2458515.5,-61.2131,0.0093,69.2452131
2458516.5,-61.6807,0.0094,69.2456807
2458517.5,-62.1318,0.0094,69.2461318
2458518.5,-62.6834,0.0091,69.2466834
2458519.5,-63.3636,0.0091,69.2473636
2458520.5,-64.1456,0.0091,69.2481456
2458521.5,-65.0381,0.009,69.24903809999999
2458522.5,-66.0328,0.0088,69.2500328
2458523.5,-67.1122,0.0087,69.2511122
2458524.5,-68.2579,0.0087,69.2522579
2458525.5,-69.452,0.0086,69.253452
2458526.5,-70.6618,0.0086,69.2546618
2458527.5,-71.8419,0.0085,69.2558419
2458528.5,-72.9663,0.0085,69.2569663
2458529.5,-74.0279,0.0084,69.2580279
2458530.5,-74.9921,0.0084,69.2589921
2458531.5,-75.9557,0.0085,69.25995569999999
2458532.5,-76.96,0.0086,69.26096
2458533.5,-78.14,0.0086,69.26214
2458534.5,-79.5086,0.0087,69.2635086
2458535.5,-80.9978,0.0088,69.2649978
2458536.5,-82.5419,0.0089,69.266541899999993
2458537.5,-84.0556,0.009,69.2680556
2458538.5,-85.4319,0.009,69.2694319
2458539.5,-86.6007,0.0091,69.2706007
2458540.5,-87.539,0.0091,69.271539
2458541.5,-88.2395,0.0091,69.2722395
2458542.5,-88.7969,0.0091,69.2727969
2458543.5,-89.3224,0.0091,69.2733224
2458544.5,-89.7152,0.0062,69.2737152
2458545.5,-90.2063,0.0061,69.2742063
2458546.5,-90.7334,0.0061,69.2747334
2458547.5,-91.3413,0.0062,69.2753413
